orderid,menuid,type,size
54467,30,drink,medium
54468,11,entree,
54468,3,entree,
54468,15,side,
54469,5,a la carte,small
54470,3,entree,
54470,13,side,
54471,11,entree,
54471,14,side,
54472,34,drink,large
54473,2,entree,
54473,1,entree,
54473,100,entree,
54473,12,side,
54473,12,side,
54474,1,entree,
54474,3,entree,
54474,1,entree,
54474,12,side,
54475,31,drink,medium
54476,2,a la carte,small
54477,6,entree,
54477,0,entree,
54477,1,entree,
54477,14,side,
54478,10,entree,
54478,6,entree,
54478,3,entree,
54478,13,side,
54479,32,drink,medium
54480,10,entree,
54480,0,entree,
54480,4,entree,
54480,14,side,
54481,7,entree,
54481,2,entree,
54481,10,entree,
54481,14,side,
54481,12,side,
54482,36,bottle,
54483,35,bottle,
54484,10,entree,
54484,13,side,
54485,2,entree,
54485,12,side,
54486,16,appetizer,
54487,0,entree,
54487,6,entree,
54487,14,side,
54488,2,entree,
54488,11,entree,
54488,13,side,
54489,10,entree,
54489,1,entree,
54489,15,side,
54490,32,drink,small
54491,0,entree,
54491,7,entree,
54491,2,entree,
54491,14,side,
54491,14,side,
54492,6,entree,
54492,2,entree,
54492,13,side,
54493,8,entree,
54493,2,entree,
54493,14,side,
54494,2,entree,
54494,11,entree,
54494,15,side,
54495,3,entree,
54495,6,entree,
54495,15,side,
54496,23,drink,medium
54497,0,entree,
54497,1,entree,
54497,14,side,
54498,33,drink,large
54499,16,appetizer,
54500,20,drink,large
54501,10,entree,
54501,3,entree,
54501,8,entree,
54501,12,side,
54502,23,drink,small
54503,37,bottle,
54504,2,entree,
54504,100,entree,
54504,100,entree,
54504,14,side,
54505,32,drink,medium
54506,1,a la carte,medium
54507,28,drink,large
54508,100,entree,
54508,4,entree,
54508,10,entree,
54508,13,side,
54508,14,side,
54509,18,appetizer,
54510,9,entree,
54510,12,side,
54511,1,a la carte,large
54512,11,entree,
54512,11,entree,
54512,9,entree,
54512,15,side,
54512,15,side,
54513,6,entree,
54513,2,entree,
54513,100,entree,
54513,13,side,
54514,1,entree,
54514,12,side,
54515,35,bottle,
54516,33,drink,medium
54517,13,a la carte,large
54518,26,drink,small
54519,18,appetizer,
54520,0,entree,
54520,2,entree,
54520,13,side,
54521,7,entree,
54521,14,side,
54522,34,drink,small
54523,30,drink,large
54524,13,a la carte,medium
54525,27,drink,small
54526,5,entree,
54526,10,entree,
54526,3,entree,
54526,15,side,
54527,1,entree,
54527,15,side,
54528,17,appetizer,
54529,36,bottle,
54530,17,appetizer,
54531,6,entree,
54531,4,entree,
54531,9,entree,
54531,14,side,
54532,100,entree,
54532,11,entree,
54532,10,entree,
54532,15,side,
54533,4,entree,
54533,6,entree,
54533,13,side,
54534,100,entree,
54534,5,entree,
54534,10,entree,
54534,12,side,
54535,17,appetizer,
54536,18,appetizer,
54537,8,entree,
54537,9,entree,
54537,5,entree,
54537,14,side,
54537,13,side,
54538,100,entree,
54538,13,side,
54539,0,entree,
54539,15,side,
54540,4,a la carte,large
54541,6,entree,
54541,7,entree,
54541,8,entree,
54541,12,side,
54542,14,a la carte,medium
54543,19,drink,small
54544,35,bottle,
54545,4,entree,
54545,3,entree,
54545,12,side,
54546,6,entree,
54546,15,side,
54547,22,drink,medium
54548,18,appetizer,
54549,9,entree,
54549,7,entree,
54549,15,side,
54550,3,entree,
54550,0,entree,
54550,5,entree,
54550,13,side,
54550,14,side,
54551,10,entree,
54551,6,entree,
54551,14,side,
54552,21,drink,medium
54553,9,entree,
54553,0,entree,
54553,9,entree,
54553,14,side,
54554,33,drink,large
54555,11,entree,
54555,9,entree,
54555,14,side,
54556,18,appetizer,
54557,8,entree,
54557,100,entree,
54557,13,side,
54558,18,appetizer,
54559,37,bottle,
54560,2,entree,
54560,1,entree,
54560,13,side,
54561,6,a la carte,small
54562,8,entree,
54562,3,entree,
54562,14,side,
54563,16,appetizer,
54564,16,appetizer,
54565,4,entree,
54565,10,entree,
54565,7,entree,
54565,13,side,
54566,35,bottle,
54567,37,bottle,
54568,18,appetizer,
54569,17,appetizer,
54570,18,appetizer,
54571,30,drink,medium
54572,2,entree,
54572,9,entree,
54572,1,entree,
54572,13,side,
54573,7,entree,
54573,14,side,
54574,18,appetizer,
54575,17,appetizer,
54576,36,bottle,
54577,36,bottle,
54578,0,entree,
54578,13,side,
54579,36,bottle,
54580,9,entree,
54580,10,entree,
54580,12,side,
54581,12,a la carte,large
54582,2,entree,
54582,1,entree,
54582,10,entree,
54582,15,side,
54583,5,a la carte,medium
54584,26,drink,small
54585,17,appetizer,
54586,2,entree,
54586,12,side,
54587,8,entree,
54587,9,entree,
54587,12,side,
54588,5,entree,
54588,15,side,
54589,5,entree,
54589,12,side,
54590,12,a la carte,medium
54591,7,entree,
54591,2,entree,
54591,15,side,
54592,10,entree,
54592,13,side,
54593,100,entree,
54593,3,entree,
54593,7,entree,
54593,12,side,
54594,36,bottle,
54595,1,entree,
54595,15,side,
54596,10,entree,
54596,4,entree,
54596,0,entree,
54596,13,side,
54596,14,side,
54597,10,entree,
54597,11,entree,
54597,12,side,
54598,3,entree,
54598,14,side,
54599,16,appetizer,
54600,8,a la carte,large
54601,5,entree,
54601,14,side,
54602,2,entree,
54602,0,entree,
54602,9,entree,
54602,15,side,
54602,14,side,
54603,18,appetizer,
54604,36,bottle,
54605,17,appetizer,
54606,6,entree,
54606,2,entree,
54606,13,side,
54607,4,a la carte,small
54608,2,entree,
54608,4,entree,
54608,6,entree,
54608,14,side,
54609,35,bottle,
54610,9,entree,
54610,2,entree,
54610,4,entree,
54610,13,side,
54610,15,side,
54611,4,entree,
54611,4,entree,
54611,1,entree,
54611,15,side,
54612,30,drink,small
54613,6,entree,
54613,0,entree,
54613,12,side,
54614,9,entree,
54614,4,entree,
54614,10,entree,
54614,14,side,
54615,37,bottle,
54616,0,entree,
54616,100,entree,
54616,2,entree,
54616,15,side,
54617,11,entree,
54617,100,entree,
54617,14,side,
54618,30,drink,medium
54619,7,entree,
54619,15,side,
54620,16,appetizer,
54621,4,entree,
54621,5,entree,
54621,100,entree,
54621,14,side,
54622,16,appetizer,
54623,26,drink,large
54624,2,entree,
54624,6,entree,
54624,13,side,
54625,2,entree,
54625,1,entree,
54625,10,entree,
54625,15,side,
54626,9,entree,
54626,14,side,
54627,9,entree,
54627,5,entree,
54627,13,side,
54628,100,entree,
54628,0,entree,
54628,4,entree,
54628,14,side,
54629,8,entree,
54629,15,side,
54630,2,a la carte,medium
54631,17,appetizer,
54632,11,entree,
54632,7,entree,
54632,5,entree,
54632,14,side,
54632,13,side,
54633,36,bottle,
54634,0,entree,
54634,8,entree,
54634,2,entree,
54634,12,side,
54635,24,drink,medium
54636,35,bottle,
54637,9,entree,
54637,15,side,
54638,36,bottle,
54639,8,entree,
54639,7,entree,
54639,14,side,
54640,10,entree,
54640,13,side,
54641,6,entree,
54641,5,entree,
54641,1,entree,
54641,12,side,
54641,13,side,
54642,36,bottle,
54643,10,entree,
54643,100,entree,
54643,6,entree,
54643,12,side,
54643,13,side,
54644,7,entree,
54644,3,entree,
54644,100,entree,
54644,15,side,
54645,100,a la carte,large
54646,9,a la carte,medium
54647,27,drink,large
54648,1,a la carte,medium
54649,29,drink,small
54650,11,entree,
54650,5,entree,
54650,0,entree,
54650,12,side,
54650,12,side,
54651,4,a la carte,medium
54652,8,entree,
54652,9,entree,
54652,9,entree,
54652,14,side,
54653,5,entree,
54653,12,side,
54654,2,entree,
54654,1,entree,
54654,12,side,
54655,7,entree,
54655,13,side,
54656,4,entree,
54656,6,entree,
54656,15,side,
54657,9,entree,
54657,13,side,
54658,17,appetizer,
54659,20,drink,large
54660,27,drink,large
54661,31,drink,small
54662,2,a la carte,large
54663,3,entree,
54663,0,entree,
54663,11,entree,
54663,15,side,
54664,35,bottle,
54665,4,entree,
54665,15,side,
54666,33,drink,small
54667,0,entree,
54667,13,side,
54668,21,drink,small
54669,1,entree,
54669,100,entree,
54669,11,entree,
54669,15,side,
54669,12,side,
54670,16,appetizer,
54671,7,entree,
54671,14,side,
54672,100,entree,
54672,3,entree,
54672,14,side,
54673,11,a la carte,medium
54674,25,drink,medium
54675,1,a la carte,medium
54676,5,entree,
54676,15,side,
54677,37,bottle,
54678,1,entree,
54678,12,side,
54679,29,drink,small
54680,11,entree,
54680,15,side,
54681,2,entree,
54681,0,entree,
54681,1,entree,
54681,12,side,
54681,12,side,
54682,11,a la carte,small
54683,37,bottle,
54684,21,drink,small
54685,11,entree,
54685,2,entree,
54685,11,entree,
54685,13,side,
54686,8,entree,
54686,10,entree,
54686,13,side,
54687,3,entree,
54687,11,entree,
54687,15,side,
54688,1,entree,
54688,10,entree,
54688,7,entree,
54688,12,side,
54689,100,a la carte,medium
54690,1,entree,
54690,5,entree,
54690,11,entree,
54690,13,side,
54691,28,drink,small
54692,26,drink,small
54693,1,entree,
54693,5,entree,
54693,10,entree,
54693,14,side,
54694,17,appetizer,
54695,18,appetizer,
54696,11,entree,
54696,2,entree,
54696,5,entree,
54696,14,side,
54696,14,side,
54697,1,entree,
54697,9,entree,
54697,6,entree,
54697,14,side,
54698,5,entree,
54698,9,entree,
54698,11,entree,
54698,15,side,
54699,9,entree,
54699,15,side,
54700,21,drink,medium
54701,2,entree,
54701,4,entree,
54701,0,entree,
54701,15,side,
54701,12,side,
54702,18,appetizer,
54703,8,entree,
54703,11,entree,
54703,6,entree,
54703,12,side,
54703,12,side,
54704,6,entree,
54704,10,entree,
54704,8,entree,
54704,13,side,
54704,15,side,
54705,8,entree,
54705,2,entree,
54705,15,side,
54706,9,a la carte,small
54707,35,bottle,
54708,18,appetizer,
54709,8,entree,
54709,12,side,
54710,35,bottle,
54711,27,drink,medium
54712,16,appetizer,
54713,22,drink,large
54714,6,entree,
54714,14,side,
54715,17,appetizer,
54716,33,drink,large
54717,7,a la carte,medium
54718,6,entree,
54718,15,side,
54719,11,entree,
54719,100,entree,
54719,1,entree,
54719,12,side,
54719,13,side,
54720,11,entree,
54720,13,side,
54721,11,entree,
54721,14,side,
54722,3,entree,
54722,9,entree,
54722,3,entree,
54722,14,side,
54723,8,entree,
54723,13,side,
54724,9,entree,
54724,11,entree,
54724,0,entree,
54724,13,side,
54725,7,a la carte,medium
54726,35,bottle,
54727,7,a la carte,medium
54728,12,a la carte,medium
54729,100,entree,
54729,0,entree,
54729,10,entree,
54729,12,side,
54729,14,side,
54730,14,a la carte,medium
54731,37,bottle,
54732,7,entree,
54732,8,entree,
54732,15,side,
54733,0,entree,
54733,5,entree,
54733,4,entree,
54733,14,side,
54733,14,side,
54734,7,a la carte,medium
54735,6,entree,
54735,1,entree,
54735,8,entree,
54735,15,side,
54736,37,bottle,
54737,100,a la carte,small
54738,0,entree,
54738,1,entree,
54738,12,side,
54739,6,entree,
54739,7,entree,
54739,3,entree,
54739,12,side,
54740,6,entree,
54740,3,entree,
54740,6,entree,
54740,12,side,
54740,15,side,
54741,8,a la carte,large
54742,8,entree,
54742,12,side,
54743,18,appetizer,
54744,18,appetizer,
54745,36,bottle,
54746,18,appetizer,
54747,35,bottle,
54748,3,entree,
54748,1,entree,
54748,3,entree,
54748,14,side,
54748,14,side,
54749,17,appetizer,
54750,18,appetizer,
54751,4,entree,
54751,11,entree,
54751,1,entree,
54751,13,side,
54751,13,side,
54752,15,a la carte,medium
54753,7,entree,
54753,4,entree,
54753,3,entree,
54753,12,side,
54754,37,bottle,
54755,30,drink,medium
54756,26,drink,medium
54757,19,drink,large
54758,20,drink,large
54759,21,drink,medium
54760,26,drink,medium
54761,7,entree,
54761,6,entree,
54761,13,side,
54762,0,entree,
54762,0,entree,
54762,9,entree,
54762,13,side,
54763,100,a la carte,large
54764,29,drink,medium
54765,0,entree,
54765,5,entree,
54765,5,entree,
54765,12,side,
54766,16,appetizer,
54767,12,a la carte,large
54768,31,drink,small
54769,1,entree,
54769,100,entree,
54769,2,entree,
54769,14,side,
54769,13,side,
54770,28,drink,large
54771,37,bottle,
54772,7,entree,
54772,14,side,
54773,37,bottle,
54774,21,drink,large
54775,21,drink,small
54776,3,entree,
54776,11,entree,
54776,0,entree,
54776,12,side,
54776,13,side,
54777,10,entree,
54777,9,entree,
54777,3,entree,
54777,13,side,
54778,16,appetizer,
54779,17,appetizer,
54780,0,entree,
54780,1,entree,
54780,10,entree,
54780,15,side,
54780,15,side,
54781,9,entree,
54781,6,entree,
54781,5,entree,
54781,14,side,
54781,14,side,
54782,37,bottle,
54783,21,drink,large
54784,35,bottle,
54785,16,appetizer,
54786,1,entree,
54786,3,entree,
54786,5,entree,
54786,13,side,
54787,9,entree,
54787,7,entree,
54787,6,entree,
54787,15,side,
54787,13,side,
54788,2,entree,
54788,1,entree,
54788,1,entree,
54788,13,side,
54789,100,entree,
54789,5,entree,
54789,15,side,
54790,100,a la carte,small
54791,0,entree,
54791,9,entree,
54791,7,entree,
54791,15,side,
54791,15,side,
54792,18,appetizer,
54793,37,bottle,
54794,11,entree,
54794,3,entree,
54794,13,side,
54795,1,entree,
54795,15,side,
54796,3,entree,
54796,2,entree,
54796,14,side,
54797,35,bottle,
54798,0,a la carte,large
54799,17,appetizer,
54800,2,entree,
54800,3,entree,
54800,7,entree,
54800,13,side,
54800,12,side,
54801,0,entree,
54801,10,entree,
54801,100,entree,
54801,13,side,
54802,100,entree,
54802,0,entree,
54802,5,entree,
54802,14,side,
54802,15,side,
54803,1,entree,
54803,6,entree,
54803,14,side,
54804,2,entree,
54804,6,entree,
54804,0,entree,
54804,15,side,
54805,3,entree,
54805,7,entree,
54805,100,entree,
54805,15,side,
54805,12,side,
54806,37,bottle,
54807,7,entree,
54807,5,entree,
54807,5,entree,
54807,15,side,
54808,37,bottle,
54809,7,entree,
54809,2,entree,
54809,3,entree,
54809,13,side,
54809,13,side,
54810,35,bottle,
54811,12,a la carte,medium
54812,35,bottle,
54813,3,entree,
54813,14,side,
54814,8,entree,
54814,13,side,
54815,21,drink,medium
54816,35,bottle,
54817,9,entree,
54817,13,side,
54818,30,drink,small
54819,26,drink,medium
54820,9,entree,
54820,15,side,
54821,35,bottle,
54822,18,appetizer,
54823,6,entree,
54823,2,entree,
54823,14,side,
54824,16,appetizer,
54825,18,appetizer,
54826,2,entree,
54826,15,side,
54827,5,entree,
54827,6,entree,
54827,0,entree,
54827,15,side,
54827,15,side,
54828,6,entree,
54828,3,entree,
54828,4,entree,
54828,15,side,
54829,8,entree,
54829,10,entree,
54829,15,side,
54830,35,bottle,
54831,9,entree,
54831,5,entree,
54831,14,side,
54832,2,entree,
54832,8,entree,
54832,3,entree,
54832,13,side,
54832,15,side,
54833,0,entree,
54833,4,entree,
54833,1,entree,
54833,13,side,
54833,13,side,
54834,35,bottle,
54835,10,entree,
54835,6,entree,
54835,9,entree,
54835,13,side,
54835,14,side,
54836,17,appetizer,
54837,1,entree,
54837,14,side,
54838,9,entree,
54838,6,entree,
54838,12,side,
54839,3,entree,
54839,7,entree,
54839,2,entree,
54839,14,side,
54839,12,side,
54840,14,a la carte,large
54841,36,bottle,
54842,4,entree,
54842,7,entree,
54842,13,side,
54843,5,entree,
54843,5,entree,
54843,6,entree,
54843,13,side,
54843,12,side,
54844,3,entree,
54844,15,side,
54845,11,entree,
54845,14,side,
54846,36,bottle,
54847,3,entree,
54847,6,entree,
54847,2,entree,
54847,14,side,
54848,2,entree,
54848,3,entree,
54848,2,entree,
54848,14,side,
54848,13,side,
54849,11,entree,
54849,15,side,
54850,17,appetizer,
54851,35,bottle,
54852,33,drink,medium
54853,8,entree,
54853,11,entree,
54853,8,entree,
54853,12,side,
54853,14,side,
54854,9,entree,
54854,7,entree,
54854,8,entree,
54854,14,side,
54854,12,side,
54855,37,bottle,
54856,20,drink,large
54857,4,entree,
54857,100,entree,
54857,13,side,
54858,8,entree,
54858,2,entree,
54858,14,side,
54859,5,entree,
54859,0,entree,
54859,0,entree,
54859,15,side,
54859,15,side,
54860,30,drink,medium
54861,18,appetizer,
54862,100,a la carte,large
54863,8,a la carte,small
54864,3,entree,
54864,7,entree,
54864,5,entree,
54864,12,side,
54864,14,side,
54865,4,entree,
54865,8,entree,
54865,7,entree,
54865,14,side,
54865,13,side,
54866,9,entree,
54866,5,entree,
54866,12,side,
54867,1,entree,
54867,11,entree,
54867,14,side,
54868,17,appetizer,
54869,29,drink,large
54870,23,drink,small
54871,0,entree,
54871,5,entree,
54871,9,entree,
54871,14,side,
54872,7,entree,
54872,14,side,
54873,19,drink,large
54874,19,drink,large
54875,0,entree,
54875,2,entree,
54875,0,entree,
54875,12,side,
54875,13,side,
54876,3,entree,
54876,11,entree,
54876,5,entree,
54876,14,side,
54876,14,side,
54877,17,appetizer,
54878,11,entree,
54878,3,entree,
54878,100,entree,
54878,15,side,
54878,12,side,
54879,16,appetizer,
54880,18,appetizer,
54881,27,drink,small
54882,1,entree,
54882,4,entree,
54882,15,side,
54883,11,entree,
54883,1,entree,
54883,100,entree,
54883,13,side,
54883,13,side,
54884,3,entree,
54884,100,entree,
54884,14,side,
54885,9,entree,
54885,15,side,
54886,8,entree,
54886,100,entree,
54886,9,entree,
54886,14,side,
54887,11,entree,
54887,7,entree,
54887,12,side,
54888,8,entree,
54888,0,entree,
54888,12,side,
54889,2,entree,
54889,4,entree,
54889,15,side,
54890,1,entree,
54890,10,entree,
54890,15,side,
54891,6,entree,
54891,9,entree,
54891,10,entree,
54891,15,side,
54891,14,side,
54892,0,entree,
54892,14,side,
54893,7,entree,
54893,10,entree,
54893,1,entree,
54893,13,side,
54893,14,side,
54894,7,entree,
54894,3,entree,
54894,3,entree,
54894,13,side,
54894,12,side,
54895,17,appetizer,
54896,7,entree,
54896,9,entree,
54896,8,entree,
54896,14,side,
54896,14,side,
54897,36,bottle,
54898,2,entree,
54898,5,entree,
54898,10,entree,
54898,15,side,
54898,12,side,
54899,36,bottle,
54900,7,entree,
54900,13,side,
54901,10,a la carte,large
54902,0,entree,
54902,9,entree,
54902,6,entree,
54902,14,side,
54902,15,side,
54903,9,entree,
54903,2,entree,
54903,2,entree,
54903,12,side,
54903,15,side,
54904,9,entree,
54904,14,side,
54905,36,bottle,
54906,9,entree,
54906,10,entree,
54906,14,side,
54907,17,appetizer,
54908,2,a la carte,large
54909,35,bottle,
54910,6,entree,
54910,1,entree,
54910,6,entree,
54910,14,side,
54910,13,side,
54911,37,bottle,
54912,100,entree,
54912,10,entree,
54912,14,side,
54913,2,entree,
54913,100,entree,
54913,14,side,
54914,35,bottle,
54915,17,appetizer,
54916,25,drink,small
54917,0,entree,
54917,12,side,
54918,17,appetizer,
54919,4,entree,
54919,6,entree,
54919,3,entree,
54919,15,side,
54920,18,appetizer,
54921,100,entree,
54921,1,entree,
54921,12,side,
54922,5,entree,
54922,3,entree,
54922,3,entree,
54922,12,side,
54923,0,entree,
54923,7,entree,
54923,14,side,
54924,9,entree,
54924,11,entree,
54924,15,side,
54925,4,a la carte,large
54926,3,entree,
54926,10,entree,
54926,2,entree,
54926,15,side,
54927,17,appetizer,
54928,16,appetizer,
54929,2,a la carte,small
54930,37,bottle,
54931,100,entree,
54931,4,entree,
54931,0,entree,
54931,12,side,
54931,13,side,
54932,18,appetizer,
54933,2,entree,
54933,8,entree,
54933,8,entree,
54933,14,side,
54934,16,appetizer,
54935,5,a la carte,medium
54936,0,entree,
54936,11,entree,
54936,1,entree,
54936,15,side,
54937,37,bottle,
54938,7,entree,
54938,11,entree,
54938,14,side,
54939,4,entree,
54939,3,entree,
54939,0,entree,
54939,12,side,
54940,3,entree,
54940,7,entree,
54940,0,entree,
54940,13,side,
54941,6,entree,
54941,100,entree,
54941,4,entree,
54941,15,side,
54942,5,entree,
54942,14,side,
54943,7,entree,
54943,4,entree,
54943,15,side,
54944,3,entree,
54944,13,side,
54945,3,a la carte,small
54946,20,drink,large
54947,17,appetizer,
54948,23,drink,large
54949,6,a la carte,small
54950,15,a la carte,medium
54951,17,appetizer,
54952,6,entree,
54952,11,entree,
54952,0,entree,
54952,14,side,
54952,13,side,
54953,11,entree,
54953,6,entree,
54953,9,entree,
54953,15,side,
54954,17,appetizer,
54955,24,drink,medium
54956,2,entree,
54956,9,entree,
54956,1,entree,
54956,12,side,
54957,9,a la carte,medium
54958,7,entree,
54958,9,entree,
54958,10,entree,
54958,15,side,
54959,5,entree,
54959,15,side,
54960,20,drink,large
54961,3,entree,
54961,2,entree,
54961,5,entree,
54961,15,side,
54961,12,side,
54962,9,a la carte,medium
54963,0,a la carte,medium
54964,27,drink,large
54965,4,entree,
54965,5,entree,
54965,13,side,
54966,8,a la carte,small
54967,9,entree,
54967,15,side,
54968,6,entree,
54968,100,entree,
54968,0,entree,
54968,15,side,
54968,14,side,
54969,15,a la carte,large
54970,25,drink,medium
54971,19,drink,large
54972,11,entree,
54972,15,side,
54973,4,entree,
54973,12,side,
54974,4,entree,
54974,0,entree,
54974,4,entree,
54974,12,side,
54974,13,side,
54975,32,drink,small
54976,18,appetizer,
54977,21,drink,medium
54978,19,drink,small
54979,8,entree,
54979,12,side,
54980,18,appetizer,
54981,8,entree,
54981,6,entree,
54981,8,entree,
54981,12,side,
54982,18,appetizer,
54983,35,bottle,
54984,18,appetizer,
54985,6,entree,
54985,7,entree,
54985,11,entree,
54985,15,side,
54985,15,side,
54986,37,bottle,
54987,7,entree,
54987,2,entree,
54987,12,side,
54988,27,drink,large
54989,5,entree,
54989,6,entree,
54989,12,side,
54990,19,drink,large
54991,4,a la carte,small
54992,16,appetizer,
54993,8,entree,
54993,10,entree,
54993,15,side,
54994,7,a la carte,medium
54995,7,a la carte,medium
54996,7,a la carte,large
54997,35,bottle,
54998,0,entree,
54998,9,entree,
54998,6,entree,
54998,14,side,
54999,37,bottle,
55000,8,entree,
55000,8,entree,
55000,3,entree,
55000,14,side,
55001,35,bottle,
55002,8,entree,
55002,3,entree,
55002,14,side,
55003,34,drink,small
55004,29,drink,medium
55005,35,bottle,
55006,22,drink,medium
55007,29,drink,medium
55008,5,entree,
55008,5,entree,
55008,15,side,
55009,11,entree,
55009,5,entree,
55009,2,entree,
55009,12,side,
55010,9,entree,
55010,8,entree,
55010,6,entree,
55010,12,side,
55011,0,entree,
55011,3,entree,
55011,7,entree,
55011,13,side,
55011,14,side,
55012,2,entree,
55012,13,side,
55013,4,entree,
55013,4,entree,
55013,6,entree,
55013,13,side,
55014,36,bottle,
55015,8,entree,
55015,11,entree,
55015,100,entree,
55015,14,side,
55016,7,entree,
55016,7,entree,
55016,15,side,
55017,30,drink,large
55018,3,entree,
55018,12,side,
55019,34,drink,large
55020,13,a la carte,medium
55021,31,drink,small
55022,10,entree,
55022,12,side,
55023,7,entree,
55023,3,entree,
55023,13,side,
55024,16,appetizer,
55025,3,entree,
55025,15,side,
55026,4,a la carte,large
55027,2,entree,
55027,8,entree,
55027,12,side,
55028,1,entree,
55028,14,side,
55029,3,entree,
55029,14,side,
55030,9,entree,
55030,9,entree,
55030,100,entree,
55030,13,side,
55030,13,side,
55031,11,entree,
55031,15,side,
55032,18,appetizer,
55033,37,bottle,
55034,100,entree,
55034,2,entree,
55034,12,side,
55035,0,entree,
55035,100,entree,
55035,7,entree,
55035,14,side,
55035,13,side,
55036,4,entree,
55036,6,entree,
55036,100,entree,
55036,12,side,
55036,15,side,
55037,10,entree,
55037,14,side,
55038,18,appetizer,
55039,28,drink,medium
55040,4,a la carte,small
55041,20,drink,small
55042,0,entree,
55042,5,entree,
55042,1,entree,
55042,14,side,
55042,15,side,
55043,37,bottle,
55044,13,a la carte,medium
55045,1,entree,
55045,9,entree,
55045,3,entree,
55045,15,side,
55046,4,entree,
55046,5,entree,
55046,12,side,
55047,12,a la carte,medium
55048,6,entree,
55048,1,entree,
55048,12,side,
55049,18,appetizer,
55050,4,entree,
55050,9,entree,
55050,3,entree,
55050,14,side,
55050,13,side,
55051,26,drink,medium
55052,17,appetizer,
55053,1,entree,
55053,13,side,
55054,4,entree,
55054,14,side,
55055,100,entree,
55055,9,entree,
55055,12,side,
55056,0,entree,
55056,12,side,
55057,5,entree,
55057,10,entree,
55057,10,entree,
55057,15,side,
55057,15,side,
55058,11,entree,
55058,5,entree,
55058,0,entree,
55058,13,side,
55058,14,side,
55059,35,bottle,
55060,1,entree,
55060,0,entree,
55060,15,side,
55061,10,entree,
55061,9,entree,
55061,7,entree,
55061,13,side,
55061,13,side,
55062,35,bottle,
55063,3,a la carte,medium
55064,37,bottle,
55065,35,bottle,
55066,0,entree,
55066,9,entree,
55066,3,entree,
55066,14,side,
55066,14,side,
55067,37,bottle,
55068,20,drink,medium
55069,31,drink,large
55070,37,bottle,
55071,6,entree,
55071,100,entree,
55071,7,entree,
55071,15,side,
55072,7,entree,
55072,13,side,
55073,30,drink,small
55074,37,bottle,
55075,31,drink,small
55076,17,appetizer,
55077,2,entree,
55077,3,entree,
55077,4,entree,
55077,14,side,
55077,14,side,
55078,11,entree,
55078,13,side,
55079,3,a la carte,medium
55080,5,entree,
55080,9,entree,
55080,5,entree,
55080,15,side,
55081,18,appetizer,
55082,5,a la carte,small
55083,4,entree,
55083,9,entree,
55083,5,entree,
55083,15,side,
55084,1,entree,
55084,15,side,
55085,37,bottle,
55086,6,entree,
55086,14,side,
55087,36,bottle,
55088,17,appetizer,
55089,0,entree,
55089,13,side,
55090,4,entree,
55090,100,entree,
55090,3,entree,
55090,14,side,
55091,11,a la carte,large
55092,9,entree,
55092,14,side,
55093,17,appetizer,
55094,0,entree,
55094,5,entree,
55094,3,entree,
55094,14,side,
55095,5,entree,
55095,100,entree,
55095,15,side,
55096,17,appetizer,
55097,10,a la carte,large
55098,10,entree,
55098,12,side,
55099,18,appetizer,
55100,6,entree,
55100,2,entree,
55100,12,side,
55101,35,bottle,
55102,3,a la carte,large
55103,6,entree,
55103,12,side,
55104,23,drink,small
55105,4,entree,
55105,12,side,
55106,0,entree,
55106,12,side,
55107,3,entree,
55107,15,side,
55108,5,a la carte,small
55109,8,a la carte,small
55110,7,entree,
55110,2,entree,
55110,2,entree,
55110,15,side,
55111,36,bottle,
55112,1,entree,
55112,2,entree,
55112,7,entree,
55112,12,side,
55112,15,side,
55113,17,appetizer,
55114,4,entree,
55114,100,entree,
55114,7,entree,
55114,13,side,
55115,28,drink,medium
55116,2,a la carte,medium
55117,26,drink,large
55118,1,a la carte,small
55119,11,entree,
55119,6,entree,
55119,3,entree,
55119,15,side,
55120,0,entree,
55120,11,entree,
55120,12,side,
55121,11,entree,
55121,0,entree,
55121,9,entree,
55121,12,side,
55121,15,side,
55122,1,entree,
55122,0,entree,
55122,0,entree,
55122,13,side,
55123,6,entree,
55123,13,side,
55124,5,entree,
55124,11,entree,
55124,13,side,
55125,10,a la carte,medium
55126,36,bottle,
55127,5,a la carte,large
55128,28,drink,small
55129,3,entree,
55129,4,entree,
55129,7,entree,
55129,13,side,
55130,37,bottle,
55131,16,appetizer,
55132,1,entree,
55132,13,side,
55133,8,entree,
55133,8,entree,
55133,7,entree,
55133,14,side,
55133,14,side,
55134,35,bottle,
55135,2,entree,
55135,14,side,
55136,11,entree,
55136,1,entree,
55136,2,entree,
55136,15,side,
55137,100,entree,
55137,10,entree,
55137,15,side,
55138,36,bottle,
55139,37,bottle,
55140,17,appetizer,
55141,21,drink,small
55142,8,a la carte,small
55143,36,bottle,
55144,14,a la carte,large
55145,7,entree,
55145,13,side,
55146,1,entree,
55146,0,entree,
55146,5,entree,
55146,13,side,
55146,13,side,
55147,2,a la carte,large
55148,15,a la carte,large
55149,5,entree,
55149,5,entree,
55149,1,entree,
55149,12,side,
55150,10,entree,
55150,100,entree,
55150,12,side,
55151,37,bottle,
55152,14,a la carte,medium
55153,9,entree,
55153,11,entree,
55153,3,entree,
55153,14,side,
55153,12,side,
55154,6,entree,
55154,100,entree,
55154,3,entree,
55154,15,side,
55155,11,entree,
55155,4,entree,
